"year","unitid","inst_name","state_name","number_applied","number_admitted","sat_crit_read_25_pctl","sat_crit_read_75_pctl","sat_math_25_pctl","sat_math_75_pctl","act_composite_25_pctl","act_composite_75_pctl","act_english_25_pctl","act_english_75_pctl","act_math_25_pctl","act_math_75_pctl","inst_control","institution_level"
"2005","161572","Unity College","Maine","476","374","","","","","","","","","","","Private not-for-profit","Four or more years"
"2005","373827","New England School of Communications","Maine","311","211","","","","","","","","","","","Private not-for-profit","Four or more years"
"2004","160959","COLLEGE OF THE ATLANTIC","Maine","255","172","","","","","","","","","","","Private not-for-profit","Four or more years"
"2004","160968","BANGOR THEOLOGICAL SEMINARY","Maine","9","8","","","","","","","","","","","Private not-for-profit","Four or more years"
"2004","160977","BATES COLLEGE","Maine","4098","1215","","","","","","","","","","","Private not-for-profit","Four or more years"
"2004","161004","BOWDOIN COLLEGE","Maine","4853","1186","640","740","650","720","","","","","","","Private not-for-profit","Four or more years"
"2004","161086","COLBY COLLEGE","Maine","4065","1494","640","720","640","710","27","31","28","32","26","30","Private not-for-profit","Four or more years"
"2004","161165","HUSSON COLLEGE","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2004","161217","UNIVERSITY OF MAINE AT AUGUSTA","Maine","","","","","","","","","","","","","Public","Four or more years"
"2004","161226","UNIVERSITY OF MAINE AT FARMINGTON","Maine","1658","1189","460","580","450","550","","","","","","","Public","Four or more years"
"2004","161235","UNIVERSITY OF MAINE AT FORT KENT","Maine","","","","","","","","","","","","","Public","Four or more years"
"2004","161244","UNIVERSITY OF MAINE AT MACHIAS","Maine","355","300","410","540","400","540","19","21","17","23","17","25","Public","Four or more years"
"2004","161253","UNIVERSITY OF MAINE","Maine","5540","4204","480","590","490","600","20","27","","","","","Public","Four or more years"
"2004","161280","UNIVERSITY OF MAINE SYSTEM CENTRAL OFFICE","Maine","","","","","","","","","","","","","Public","Four or more years"
"2004","161299","MAINE MARITIME ACADEMY","Maine","702","483","460","570","490","590","19","26","16","24","19","26","Public","Four or more years"
"2004","161341","UNIVERSITY OF MAINE AT PRESQUE ISLE","Maine","520","454","","","","","","","","","","","Public","Four or more years"
"2004","161448","NEW ENGLAND BAPTIST BIBLE COLLEGE","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2004","161457","UNIVERSITY OF NEW ENGLAND","Maine","1717","1565","460","560","460","570","","","","","","","Private not-for-profit","Four or more years"
"2004","161509","MAINE COLLEGE OF ART","Maine","445","287","490","590","460","560","15","20","","","","","Private not-for-profit","Four or more years"
"2004","161518","SAINT JOSEPHS COLLEGE","Maine","1150","873","460","560","460","550","17","20","","","","","Private not-for-profit","Four or more years"
"2004","161554","UNIVERSITY OF SOUTHERN MAINE","Maine","3742","3100","450","560","450","550","18","24","18","24","17","24","Public","Four or more years"
"2004","161563","THOMAS COLLEGE","Maine","520","372","400","510","410","520","","","","","","","Private not-for-profit","Four or more years"
"2004","161572","UNITY COLLEGE","Maine","444","389","","","","","","","","","","","Private not-for-profit","Four or more years"
"2004","373827","NEW ENGLAND SCHOOL OF COMMUNICATIONS","Maine","307","208","","","","","","","","","","","Private not-for-profit","Four or more years"
"2003","160959","COLLEGE OF THE ATLANTIC","Maine","273","187","","","","","","","","","","","Private not-for-profit","Four or more years"
"2003","160968","BANGOR THEOLOGICAL SEMINARY","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2003","160977","BATES COLLEGE","Maine","4089","1254","","","","","","","","","","","Private not-for-profit","Four or more years"
"2003","161004","BOWDOIN COLLEGE","Maine","4719","1154","640","730","650","710","","","","","","","Private not-for-profit","Four or more years"
"2003","161086","COLBY COLLEGE","Maine","4126","1388","630","710","640","710","","","","","","","Private not-for-profit","Four or more years"
"2003","161165","HUSSON COLLEGE","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2003","161217","UNIVERSITY OF MAINE AT AUGUSTA","Maine","","","","","","","","","","","","","Public","Four or more years"
"2003","161226","UNIVERSITY OF MAINE AT FARMINGTON","Maine","1521","1095","480","590","470","570","","","","","","","Public","Four or more years"
"2003","161235","UNIVERSITY OF MAINE AT FORT KENT","Maine","","","","","","","","","","","","","Public","Four or more years"
"2003","161244","UNIVERSITY OF MAINE AT MACHIAS","Maine","510","416","420","520","420","520","19","23","16","23","16","20","Public","Four or more years"
"2003","161253","UNIVERSITY OF MAINE","Maine","5249","4136","480","590","490","610","","","","","","","Public","Four or more years"
"2003","161280","UNIVERSITY OF MAINE SYSTEM CENTRAL OFFICE","Maine","","","","","","","","","","","","","Public","Four or more years"
"2003","161299","MAINE MARITIME ACADEMY","Maine","658","449","450","560","470","580","","","","","","","Public","Four or more years"
"2003","161341","UNIVERSITY OF MAINE AT PRESQUE ISLE","Maine","532","243","400","530","410","510","","","","","","","Public","Four or more years"
"2003","161448","NEW ENGLAND BAPTIST BIBLE COLLEGE","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2003","161457","UNIVERSITY OF NEW ENGLAND","Maine","1556","1434","470","580","460","580","","","","","","","Private not-for-profit","Four or more years"
"2003","161509","MAINE COLLEGE OF ART","Maine","269","226","490","590","460","560","15","20","","","","","Private not-for-profit","Four or more years"
"2003","161518","SAINT JOSEPHS COLLEGE","Maine","962","763","440","560","440","550","","","","","","","Private not-for-profit","Four or more years"
"2003","161554","UNIVERSITY OF SOUTHERN MAINE","Maine","3585","2587","450","560","450","540","","","","","","","Public","Four or more years"
"2003","161563","THOMAS COLLEGE","Maine","588","428","420","500","410","530","","","","","","","Private not-for-profit","Four or more years"
"2003","161572","UNITY COLLEGE","Maine","613","473","","","","","","","","","","","Private not-for-profit","Four or more years"
"2003","373827","NEW ENGLAND SCHOOL OF COMMUNICATIONS","Maine","276","123","","","","","","","","","","","Private not-for-profit","Four or more years"
"2002","160959","COLLEGE OF THE ATLANTIC","Maine","337","245","","","","","","","","","","","Private not-for-profit","Four or more years"
"2002","160968","BANGOR THEOLOGICAL SEMINARY","Maine","0","0","","","","","","","","","","","Private not-for-profit","Four or more years"
"2002","160977","BATES COLLEGE","Maine","4012","1121","630","710","650","720","","","","","","","Private not-for-profit","Four or more years"
"2002","161004","BOWDOIN COLLEGE","Maine","4505","1114","640","730","640","720","","","","","","","Private not-for-profit","Four or more years"
"2002","161086","COLBY COLLEGE","Maine","3873","1282","620","700","640","710","","","","","","","Private not-for-profit","Four or more years"
"2002","161165","HUSSON COLLEGE","Maine","0","0","","","","","","","","","","","Private not-for-profit","Four or more years"
"2002","161217","UNIVERSITY OF MAINE AT AUGUSTA","Maine","0","0","","","","","","","","","","","Public","Four or more years"
"2002","161226","UNIVERSITY OF MAINE AT FARMINGTON","Maine","1410","1004","480","580","470","580","","","","","","","Public","Four or more years"
"2002","161235","UNIVERSITY OF MAINE AT FORT KENT","Maine","0","0","","","","","","","","","","","Public","Four or more years"
"2002","161244","UNIVERSITY OF MAINE AT MACHIAS","Maine","478","395","420","530","390","520","17","26","15","18","16","24","Public","Four or more years"
"2002","161253","UNIVERSITY OF MAINE","Maine","4811","3854","480","590","480","600","","","","","","","Public","Four or more years"
"2002","161280","UNIVERSITY OF MAINE SYSTEM CENTRAL OFFICE","Maine","0","0","","","","","","","","","","","Public","Four or more years"
"2002","161299","MAINE MARITIME ACADEMY","Maine","625","225","470","570","480","610","18","24","16","23","17","25","Public","Four or more years"
"2002","161341","UNIVERSITY OF MAINE AT PRESQUE ISLE","Maine","532","459","","","","","","","","","","","Public","Four or more years"
"2002","161448","NEW ENGLAND BAPTIST BIBLE COLLEGE","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2002","161457","UNIVERSITY OF NEW ENGLAND","Maine","1263","1126","460","570","450","570","","","","","","","Private not-for-profit","Four or more years"
"2002","161509","MAINE COLLEGE OF ART","Maine","511","353","470","570","450","540","23","26","27","28","21","27","Private not-for-profit","Four or more years"
"2002","161518","SAINT JOSEPHS COLLEGE","Maine","1129","925","420","540","430","560","","","","","","","Private not-for-profit","Four or more years"
"2002","161554","UNIVERSITY OF SOUTHERN MAINE","Maine","3664","2741","450","550","450","540","","","","","","","Public","Four or more years"
"2002","161563","THOMAS COLLEGE","Maine","487","393","400","500","410","510","","","","","","","Private not-for-profit","Four or more years"
"2002","161572","UNITY COLLEGE","Maine","625","502","","","","","","","","","","","Private not-for-profit","Four or more years"
"2002","373827","NEW ENGLAND SCHOOL OF COMMUNICATIONS","Maine","240","159","","","","","","","","","","","Private not-for-profit","Four or more years"
"2002","407230","BANGOR THEOLOGICAL SEMINARY","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2001","160959","COLLEGE OF THE ATLANTIC","Maine","234","174","","","","","","","","","","","Private not-for-profit","Four or more years"
"2001","160968","BANGOR THEOLOGICAL SEMINARY","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2001","160977","BATES COLLEGE","Maine","4264","1397","630","700","640","700","","","","","","","Private not-for-profit","Four or more years"
"2001","161004","BOWDOIN COLLEGE","Maine","4536","1080","640","730","640","710","","","","","","","Private not-for-profit","Four or more years"
"2001","161086","COLBY COLLEGE","Maine","3909","1323","620","700","630","710","26","30","26","30","26","31","Private not-for-profit","Four or more years"
"2001","161147","FAITH SCHOOL OF THEOLOGY","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2001","161165","HUSSON COLLEGE","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2001","161217","UNIVERSITY OF MAINE AT AUGUSTA","Maine","","","","","","","","","","","","","Public","Four or more years"
"2001","161226","UNIVERSITY OF MAINE AT FARMINGTON","Maine","1743","1200","470","580","460","570","","","","","","","Public","Four or more years"
"2001","161235","UNIVERSITY OF MAINE AT FORT KENT","Maine","549","532","","","","","","","","","","","Public","Four or more years"
"2001","161244","UNIVERSITY OF MAINE AT MACHIAS","Maine","521","423","","","","","","","","","","","Public","Four or more years"
"2001","161253","UNIVERSITY OF MAINE","Maine","4783","3890","480","590","490","600","","","","","","","Public","Four or more years"
"2001","161280","UNIVERSITY OF MAINE SYSTEM CENTRAL OFFICE","Maine","","","","","","","","","","","","","Public","Four or more years"
"2001","161299","MAINE MARITIME ACADEMY","Maine","486","380","","","","","","","","","","","Public","Four or more years"
"2001","161341","UNIVERSITY OF MAINE AT PRESQUE ISLE","Maine","300","270","","","","","","","","","","","Public","Four or more years"
"2001","161448","NEW ENGLAND BAPTIST BIBLE COLLEGE","Maine","47","44","","","","","","","","","","","Private not-for-profit","Four or more years"
"2001","161457","UNIVERSITY OF NEW ENGLAND-UNIVERSITY CAMPUS","Maine","1444","1283","470","580","480","580","","","","","","","Private not-for-profit","Four or more years"
"2001","161509","MAINE COLLEGE OF ART","Maine","320","283","455","585","415","530","18","24","","","","","Private not-for-profit","Four or more years"
"2001","161518","SAINT JOSEPHS COLLEGE","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2001","161554","UNIVERSITY OF SOUTHERN MAINE","Maine","2926","2410","450","560","440","550","","","","","","","Public","Four or more years"
"2001","161563","THOMAS COLLEGE","Maine","515","492","420","510","400","530","","","","","","","Private not-for-profit","Four or more years"
"2001","161572","UNITY COLLEGE","Maine","470","426","","","","","","","","","","","Private not-for-profit","Four or more years"
"2001","373827","NEW ENGLAND SCHOOL OF COMMUNICATIONS","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2001","407230","BANGOR THEOLOGICAL SEMINARY","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
