"year","unitid","inst_name","state_name","number_applied","number_admitted","sat_crit_read_25_pctl","sat_crit_read_75_pctl","sat_math_25_pctl","sat_math_75_pctl","act_composite_25_pctl","act_composite_75_pctl","act_english_25_pctl","act_english_75_pctl","act_math_25_pctl","act_math_75_pctl","inst_control","institution_level"
"2014","160977","Bates College","Maine","5044","1282","","","","","","","","","","","Private not-for-profit","Four or more years"
"2014","161004","Bowdoin College","Maine","6935","1034","","","","","","","","","","","Private not-for-profit","Four or more years"
"2014","161086","Colby College","Maine","5148","1444","610","710","620","720","28","32","28","33","27","32","Private not-for-profit","Four or more years"
"2014","161165","Husson University","Maine","2150","1547","430","520","430","530","17","21","15","22","17","23","Private not-for-profit","Four or more years"
"2014","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2014","161226","University of Maine at Farmington","Maine","1463","1237","","","","","","","","","","","Public","Four or more years"
"2014","161235","University of Maine at Fort Kent","Maine","449","335","410","490","400","500","16","19","16","20","18","19","Public","Four or more years"
"2014","161244","University of Maine at Machias","Maine","","","","","","","","","","","","","Public","Four or more years"
"2014","161253","University of Maine","Maine","11552","9539","480","590","480","600","21","27","","","","","Public","Four or more years"
"2014","161280","University of Maine-System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2014","161299","Maine Maritime Academy","Maine","805","633","450","550","470","580","19","24","17","24","21","25","Public","Four or more years"
"2014","161341","University of Maine at Presque Isle","Maine","","","","","","","","","","","","","Public","Four or more years"
"2014","161457","University of New England","Maine","4317","3699","480","580","490","580","21","26","20","27","20","26","Private not-for-profit","Four or more years"
"2014","161509","Maine College of Art","Maine","375","365","","","","","","","","","","","Private not-for-profit","Four or more years"
"2014","161518","Saint Joseph's College of Maine","Maine","1444","1134","430","530","440","530","","","","","","","Private not-for-profit","Four or more years"
"2014","161554","University of Southern Maine","Maine","3781","3174","440","560","440","550","20","24","17","24","16","23","Public","Four or more years"
"2014","161563","Thomas College","Maine","1081","803","","","","","","","","","","","Private not-for-profit","Four or more years"
"2014","161572","Unity College","Maine","638","594","","","","","","","","","","","Private not-for-profit","Four or more years"
"2014","373827","New England School of Communications","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2014","462044","Institute for Doctoral Studies in the Visual Arts","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2013","160959","College of the Atlantic","Maine","452","333","","","","","","","","","","","Private not-for-profit","Four or more years"
"2013","160968","Bangor Theological Seminary","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2013","160977","Bates College","Maine","5243","1267","","","","","","","","","","","Private not-for-profit","Four or more years"
"2013","161004","Bowdoin College","Maine","7052","1054","680","760","680","750","30","33","31","34","29","34","Private not-for-profit","Four or more years"
"2013","161086","Colby College","Maine","5407","1408","620","710","640","720","28","32","28","34","27","32","Private not-for-profit","Four or more years"
"2013","161165","Husson University","Maine","1581","1263","420","530","430","550","17","21","15","22","16","23","Private not-for-profit","Four or more years"
"2013","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2013","161226","University of Maine at Farmington","Maine","1638","1371","","","","","","","","","","","Public","Four or more years"
"2013","161235","University of Maine at Fort Kent","Maine","464","292","400","500","410","500","18","27","16","24","18","25","Public","Four or more years"
"2013","161244","University of Maine at Machias","Maine","452","386","410","530","410","520","18","25","17","24","17","27","Public","Four or more years"
"2013","161253","University of Maine","Maine","8306","6733","480","590","490","610","21","26","","","","","Public","Four or more years"
"2013","161280","University of Maine-System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2013","161299","Maine Maritime Academy","Maine","791","517","440","550","480","580","20","24","20","25","21","26","Public","Four or more years"
"2013","161341","University of Maine at Presque Isle","Maine","","","","","","","","","","","","","Public","Four or more years"
"2013","161457","University of New England","Maine","4231","3632","470","570","480","580","21","26","20","25","22","26","Private not-for-profit","Four or more years"
"2013","161509","Maine College of Art","Maine","320","308","","","","","","","","","","","Private not-for-profit","Four or more years"
"2013","161518","Saint Joseph's College of Maine","Maine","1580","1229","430","520","440","530","","","","","","","Private not-for-profit","Four or more years"
"2013","161554","University of Southern Maine","Maine","3902","3231","450","550","440","560","20","25","19","25","19","25","Public","Four or more years"
"2013","161563","Thomas College","Maine","1074","778","390","490","400","510","16","21","","","","","Private not-for-profit","Four or more years"
"2013","161572","Unity College","Maine","519","461","","","","","","","","","","","Private not-for-profit","Four or more years"
"2013","373827","New England School of Communications","Maine","436","131","","","","","","","","","","","Private not-for-profit","Four or more years"
"2013","462044","Institute for Doctoral Studies in the Visual Arts","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2012","160959","College of the Atlantic","Maine","378","268","","","","","","","","","","","Private not-for-profit","Four or more years"
"2012","160968","Bangor Theological Seminary","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2012","160977","Bates College","Maine","4906","1305","","","","","","","","","","","Private not-for-profit","Four or more years"
"2012","161004","Bowdoin College","Maine","6716","1060","670","760","670","760","31","33","31","35","29","34","Private not-for-profit","Four or more years"
"2012","161086","Colby College","Maine","5241","1517","610","710","630","720","29","32","28","34","27","32","Private not-for-profit","Four or more years"
"2012","161165","Husson University","Maine","1509","1155","410","510","430","530","19","23","18","22","18","25","Private not-for-profit","Four or more years"
"2012","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2012","161226","University of Maine at Farmington","Maine","1417","1240","","","","","","","","","","","Public","Four or more years"
"2012","161235","University of Maine at Fort Kent","Maine","561","389","410","500","400","500","17","21","15","23","17","19","Public","Four or more years"
"2012","161244","University of Maine at Machias","Maine","442","365","400","510","390","510","15","25","14","25","16","24","Public","Four or more years"
"2012","161253","University of Maine","Maine","8093","6289","470","590","470","600","21","27","","","","","Public","Four or more years"
"2012","161280","University of Maine System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2012","161299","Maine Maritime Academy","Maine","823","545","460","560","490","590","19","24","17","24","20","25","Public","Four or more years"
"2012","161341","University of Maine at Presque Isle","Maine","","","","","","","","","","","","","Public","Four or more years"
"2012","161457","University of New England","Maine","3885","3346","470","570","490","590","21","26","20","26","21","26","Private not-for-profit","Four or more years"
"2012","161509","Maine College of Art","Maine","301","294","","","","","","","","","","","Private not-for-profit","Four or more years"
"2012","161518","Saint Joseph's College of Maine","Maine","1496","1195","420","510","420","510","","","","","","","Private not-for-profit","Four or more years"
"2012","161554","University of Southern Maine","Maine","4109","3286","440","570","440","560","19","24","18","24","18","23","Public","Four or more years"
"2012","161563","Thomas College","Maine","1130","760","390","510","400","510","16","22","","","","","Private not-for-profit","Four or more years"
"2012","161572","Unity College","Maine","402","353","","","","","","","","","","","Private not-for-profit","Four or more years"
"2012","373827","New England School of Communications","Maine","325","199","","","","","","","","","","","Private not-for-profit","Four or more years"
"2012","462044","Institute for Doctoral Studies in the Visual Arts","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2011","160959","College of the Atlantic","Maine","367","235","","","","","","","","","","","Private not-for-profit","Four or more years"
"2011","160968","Bangor Theological Seminary","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2011","160977","Bates College","Maine","5196","1397","","","","","","","","","","","Private not-for-profit","Four or more years"
"2011","161004","Bowdoin College","Maine","6554","1056","670","750","660","740","30","33","31","35","29","34","Private not-for-profit","Four or more years"
"2011","161086","Colby College","Maine","5186","1527","620","710","630","710","28","32","28","33","27","32","Private not-for-profit","Four or more years"
"2011","161165","Husson University","Maine","1560","1172","430","510","420","530","17","21","15","21","16","24","Private not-for-profit","Four or more years"
"2011","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2011","161226","University of Maine at Farmington","Maine","1580","1291","","","","","","","","","","","Public","Four or more years"
"2011","161235","University of Maine at Fort Kent","Maine","534","463","","","","","","","","","","","Public","Four or more years"
"2011","161244","University of Maine at Machias","Maine","405","318","410","530","400","510","17","24","15","24","17","22","Public","Four or more years"
"2011","161253","University of Maine","Maine","7247","5638","480","590","480","600","21","27","","","","","Public","Four or more years"
"2011","161280","University of Maine System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2011","161299","Maine Maritime Academy","Maine","878","563","440","540","460","570","18","24","16","23","18","24","Public","Four or more years"
"2011","161341","University of Maine at Presque Isle","Maine","","","","","","","","","","","","","Public","Four or more years"
